canonical_id,historical_version,lineage,repo,branch_or_ref,status,domain,primary_evidence,mechanism,allowed_claim,forbidden_claim,supersedes,next_residual
CHUNKED_LANGUAGE_RATCHET_V28B,V28B,description-length,heathsanchez/triskelion,main,BOUNDED_PASS,finite-world,results/PROGRESS_V24_V32_2026-08-14.md,verified composite becomes cost-1 atom,Verified compression changes what fits a frozen search horizon,Not encoding-independent universal MDL,,external reproduction
CONTROLFLOW_CHUNKING_V29,V29,description-length,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/PROGRESS_V24_V32_2026-08-14.md,independent control-flow reproduction,Description-length ratchet reproduced on another substrate,Not natural operator invention,V28B,external code
EXTERNAL_CHUNK_AMBIGUITY_V30,V30,description-length,heathsanchez/triskelion,main,MIXED,code,results/PROGRESS_V24_V32_2026-08-14.md,two syntactic survivors exposed quotient ambiguity,Useful ambiguity identified,Do not arbitrarily choose one syntax,,quotient equivalence
EXTERNAL_QUOTIENT_CHUNK_V30B,V30B,description-length,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/PROGRESS_V24_V32_2026-08-14.md,extensional quotient plus chunking,Learned scoped law changes quotient topology and bounded reachable frontier,Not universal commutativity,V30,scope law mining
EXTERNAL_LAW_MINER_V32,V32,scope-lawbook,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/PROGRESS_V24_V32_2026-08-14.md,composition-law mining,Composition/equivalence laws are contextual and must be scoped,Not global commutative algebra,V30B,learned scope
EXTERNAL_FRONTIER_V33,V33,discoverability,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/ATTESTATION_LEDGER.md,external frontier precursor,Precursor external frontier result,Use V34 for strongest headline,,source-distinct chain
SOURCE_DISTINCT_DISCOVERABILITY_V34,V34,discoverability,heathsanchez/triskelion,main,ATTESTED,code,results/ATTESTATION_LEDGER.md,source-distinct external frontier,Prior acquired operators change later visible obstruction across fixed source-distinct repos with ancestor ablations,Not unrestricted operator invention,V33,natural heterogeneous compounding
SCOPE_REVISION_V35,V35,scope-lawbook,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,results/V35_SCOPE_REVISION_RESULT.json,scope revision,Historical scope-revision evidence,Do not exceed later audited scope line,,reconcile
META_CONSTRUCTOR_V36_V37,V36-V37,constructor,heathsanchez/triskelion,main,RESULT_ONLY,code,results/V36_V37_META_CONSTRUCTOR.txt,constructor-level discoverability under AST lattice,Bounded precursor to constructor development,No CI provenance and supplied host type lattice,,real-system constructor development
EXTERNAL_SCOPE_REVISION_V37B,V37B,scope-lawbook,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,results/V37B_EXTERNAL_SCOPE_REVISION_PASS_20260814.md,external scope revision,Historical positive scope revision,Not yet canonical attestation,,reconcile
BEHAVIORAL_SCOPE_LOOP_V39,V39,scope-lawbook,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,results/V39_SINGLE_LOOP_BEHAVIORAL_SCOPE_REVISION_PASS_20260814.md,behavioral scope loop,Historical bounded scope-loop positive,Not full integrated lifecycle,,reconcile
SCOPE_CONSTRUCTION_V40,V40,scope-lawbook,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/ATTESTATION_LEDGER.md,construct applicability scope,Bounded scope construction supported,Not universal applicability inference,,integrate
RELATIONAL_SCOPE_V41,V41,scope-lawbook,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/ATTESTATION_LEDGER.md,relational scope,Bounded relational applicability supported,Not universal type induction,V40,integrate
OPAQUE_LABEL_AUDIT_V42,V42,scope-lawbook,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/ATTESTATION_LEDGER.md,opaque-label scope audit,Bounded operational evidence survives label opacity,Not semantic ontology theorem,V41,integrate
CATEGORY_INDUCTION_V43,V43,scope-lawbook,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/ATTESTATION_LEDGER.md,category induction from operational behavior,Bounded category induction supported,Not natural universal ontology,V42,natural-world induction
RAW_LEXICAL_CATEGORY_V44,V44,scope-lawbook,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,results/V44_RAW_LEXICAL_CATEGORY_RESULT.json,raw lexical category precursor,Historical precursor to V49-V51,Do not use as strongest sealed evidence,,sealed learning
QUOTIENT_REFINEMENT_V45_V66,V45-V66,quotient-lawbook,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/ATTESTATION_LEDGER.md,external reversible quotient refinement,22-target ledger with 19 negatives and 3 reversible refinements supports bounded scoped equivalence,Not autonomous separator invention,,prospective quotient discovery
SEALED_TRANSFER_V49,V49,sealed-learning,heathsanchez/triskelion,v49-sealed-run,ATTESTED_QUALIFIED,code,results/ATTESTATION_LEDGER.md,sealed acquire-transfer-ablate-revoke,Behavioral transfer/revocation predicates are supported with sealing qualification,Do not claim hard temporal sealing from a flag,,stronger outcome-derived category
OUTCOME_LABELED_V50,V50,sealed-learning,heathsanchez/triskelion,main,ATTESTED_QUALIFIED,code,results/ATTESTATION_LEDGER.md,derive HELP/HARM class from executable transitions,Executable outcomes induce reusable lexical relation with transfer and later revoke,Do not claim unrestricted concept induction,V49,closure-expanding operator
OPERATOR_INVENTION_V51,V51,sealed-learning,heathsanchez/triskelion,v51-operator-invention,ATTESTED_QUALIFIED,code,results/ATTESTATION_LEDGER.md,construct <= rewrite outside frozen permutation closure,Under supplied token-emission substrate a new rewrite outside frozen old closure causally repairs held-out code and is later revoked,Do not claim invention outside all supplied meta-languages,V50,boundary robustness and compression
TWO_GENERATION_COMPOUNDING_V54,V54,developmental-compounding,heathsanchez/triskelion,v54-compounding-ratchet,BOUNDED_PASS,finite-world,results/ATTESTATION_LEDGER.md,O1 makes O2 discoverable and final target requires both,Bounded two-generation causal developmental compounding,Not natural open-ended compounding,,natural-world analogue
HISTORICAL_COMPOUNDING_V55A,V55A,natural-compounding,heathsanchez/triskelion,main,MIXED,code,results/ATTESTATION_LEDGER.md,historical natural compounding attempt,Only two READY worlds and no unique O1,No natural compounding claim,,better qualified corpus
CONSTRUCTOR_COMPOUNDING_V55B,V55B,constructor,heathsanchez/triskelion,main,NEGATIVE,code,results/ATTESTATION_LEDGER.md,insertion meta-substrate constructor synthesis,Frozen substrate failed to synthesize K1,Not evidence against all constructor growth,,new constructor substrate
MODEL_CARD_V55C,V55C,model-routing,heathsanchez/triskelion,main,MIXED,model,results/ATTESTATION_LEDGER.md,verified-card vs raw/no memory,Protected negatives fail,No superiority claim,,verifier-controlled routing
VERIFIER_MODEL_LAYER_V56C,V56C,model-routing,heathsanchez/triskelion,v56-close-gaps,BOUNDED_PASS,model,results/ATTESTATION_LEDGER.md,explicit verifier-controlled applicability,12/12 versus 6/12 no-memory and 6/12 raw-memory on frozen small-model task,Not general model-memory superiority,,integrated adapter
INCREMENTAL_LAWBOOK_V68,V68,quotient-lawbook,heathsanchez/triskelion,main,RESULT_ONLY,code,results/ATTESTATION_LEDGER.md,reversible partition refinement,Committed result reports 3->6 classes with provenance restoration,No CI-attested headline,,rerun/integrate
NEURAL_QUOTIENT_REVISION_V69,V69,quotient-lawbook,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,model,experiments/METALOGIC_NEURAL_QUOTIENT_REVISION_V69.py,neural quotient revision,Historical neural optimization experiment,Explicit state remains authority,,reconcile
MULTISCALE_MOTIFS_V70,V70,motif-grammar,heathsanchez/triskelion,main,BOUNDED_PASS,reasoning-grammar,results/ATTESTATION_LEDGER.md,multiscale motif discovery,Bounded recurring motifs on normalized corpus,Not universal cognitive motifs,,scale holdout
SCALE_HOLDOUT_GRAMMAR_V71,V71,motif-grammar,heathsanchez/triskelion,main,BOUNDED_PASS,reasoning-grammar,results/ATTESTATION_LEDGER.md,whole-scale grammar transfer,Primitive/order grammar transfers across held-out scale,Not unrestricted hierarchy,V70,MDL basis
MDL_MOTIF_BASIS_V72,V72,motif-grammar,heathsanchez/triskelion,main,BOUNDED_PASS,reasoning-grammar,results/ATTESTATION_LEDGER.md,definition-cost-charged motif basis,Exact MDL search gave 15.493% saving vs 5.632% shuffle mean,Not encoding-independent universal compression,V71,higher-order motif test
HIERARCHICAL_MOTIF_V73,V73,motif-grammar,heathsanchez/triskelion,main,NEGATIVE,reasoning-grammar,results/ATTESTATION_LEDGER.md,second-level motif search,Zero qualifying second-level motifs,Do not claim recursive/fractal hierarchy,V72,causal organ formation
MATH_GRAMMAR_TRANSFER_V74,V74,motif-grammar,heathsanchez/triskelion,main,MIXED,math,results/ATTESTATION_LEDGER.md,math grammar transfer,Primitive/operator order transfers strongly,No incremental value established for V72 macros,V72,causal executable organs
SORRYDB_V77,V77,external-math,heathsanchez/triskelion,v77-sorrydb,NEGATIVE,lean,results/ATTESTATION_LEDGER.md,official verifier solver arms,Exact-commit plumbing works but 0/3 selected tasks solved,Not a verification-system failure,,better solver/discovery
RELATE_RECURSE_HARDENED_V78D,V78D,alphabet-probe,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,reasoning-alphabet,results/attested/V78D_RELATE_RECURSE_HARDENED_RESULT.json,hardened alphabet relation,Primary snapshot retained,Do not infer autonomous alphabet growth,,reconcile
EXTERNAL_BLACKBOX_PROBE_V79,V79,alphabet-probe,heathsanchez/triskelion,v79-external-probe,HISTORICAL_REVIEW_NEEDED,probe,results/attested/V79_EXTERNAL_BLACKBOX_PROBE_RESULT.json,external black-box probe,Primary snapshot retained,Do not infer PROBE invention,,reconcile
PROBE_SURROGATE_COMPOUNDING_V80,V80,alphabet-probe,heathsanchez/triskelion,v80-probe-compounding,HISTORICAL_REVIEW_NEEDED,probe,results/attested/V80_PROBE_TO_SURROGATE_COMPOUNDING_RESULT.json,probe-to-surrogate compounding,Primary snapshot retained,Do not infer full alphabet expansion,,reconcile
PROBE_PROGRAM_SYNTHESIS_V81,V81,alphabet-probe,heathsanchez/triskelion,v81-probe-program-synthesis,HISTORICAL_REVIEW_NEEDED,probe,results/attested/V81_PROBE_PROGRAM_SYNTHESIS_RESULT.json,probe program synthesis,Primary snapshot retained,Do not infer blind epistemic primitive construction,,reconcile
IVAG_CALIBRATION_V82,V82,natural-constructor,heathsanchez/triskelion,v82-ivag,CALIBRATION,code,results/attested/V82_IVAG_CALIBRATION_RESULT.json,IVAG calibration,Calibration evidence only,Not natural constructor evidence,,natural recurrence
NATURAL_IVAG_V83,V83,natural-constructor,heathsanchez/triskelion,v83-natural-ivag,MIXED,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,recurrence/minimality natural test,Did not yield held-out closure growth,No developmental primitive claim,,constructor reachability
NATURAL_CAPABILITY_V84,V84,natural-constructor,heathsanchez/triskelion,v84-capability-lattice,MIXED,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,one-token natural algebra,Only 2/37 failing programs reachable and one convergence is equal-MDL tie,No natural lattice claim,,better K
CONSTRUCTOR_GENESIS_V85,V85,natural-constructor,heathsanchez/triskelion,v85-constructor-genesis,NEGATIVE,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,hand-named AST families,Essentially no verifier support,No supported natural constructor ontology,,induced K
PATCH_INDUCED_CONSTRUCTOR_V86,V86,natural-constructor,heathsanchez/triskelion,v86-patch-induced-constructor,NEGATIVE,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,exact training-side edit templates,Zero new held-out closure,No transfer claim,,structural grammar
STRUCTURAL_CONSTRUCTOR_V87,V87,natural-constructor,heathsanchez/triskelion,v87-structural-constructor-induction,MIXED,code,results/NATURAL_CONSTRUCTOR_AUDIT_V87_V96_20260814.md,learned structural grammar,Closure grows 1->4 but wrong-pair control also solves same 4,Gain is not causally learned structure,,contextual evidence
CONTEXTUAL_CONSTRUCTOR_V88_V89,V88-V89,natural-constructor,heathsanchez/triskelion,v89-contextual-constructor-confirmation,NEGATIVE,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,contextual site signal then fresh confirmation,Promising V88 signal failed clean V89 replication,No stable contextual constructor claim,,protected repair check
PROTECTED_CONSTRUCTOR_V90,V90,natural-constructor,heathsanchez/triskelion,v90-protected-constructor-confirmation,MIXED,code,results/NATURAL_CONSTRUCTOR_AUDIT_V87_V96_20260814.md,test success vs sealed human-fix agreement,Ordinary closure expansion disappears under protected agreement,Test PASS is not structural correctness,,verifier-only ontology
SITE_ONTOLOGY_V91,V91,natural-constructor,heathsanchez/triskelion,v91-verifier-induced-site-ontology,MIXED,code,results/NATURAL_CONSTRUCTOR_AUDIT_V87_V96_20260814.md,verifier-induced site class,Operational site class exists but no held-out closure growth and no null advantage,Not transferable ontology,,richer roles
FUNCTIONAL_ROLE_V92,V92,natural-constructor,heathsanchez/triskelion,v92-functional-role-ontology,MIXED,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,verifier-induced functional roles,Diagnostic found insufficient repeated support,No positive natural role evidence,,whole-program geometry
WHOLE_PROGRAM_V93,V93,natural-constructor,heathsanchez/triskelion,v93b-whole-program-signature-fixed,MIXED,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,anonymous static geometry,No reachable held-out repair in diagnostic so ranking uninterpretable,No ranking claim,,dynamic geometry
DYNAMIC_STATE_V94,V94,natural-constructor,heathsanchez/triskelion,v94-dynamic-state-invariants,MIXED,code,results/NATURAL_CONSTRUCTOR_AUDIT_V87_V96_20260814.md,dynamic state invariants,Dynamic prototypes formed but 0/8 held-out tasks reachable,This is K ceiling not geometry falsification,,calibrate representation
DYNAMIC_SIGNATURE_V94C,V94C,natural-constructor,heathsanchez/triskelion,v94c-dynamic-signature-calibration,CALIBRATION,code,results/NATURAL_CONSTRUCTOR_AUDIT_V87_V96_20260814.md,dynamic signature calibration,15/15 known mechanisms vs 5/15 coordinate-permuted null,Not natural transfer evidence,V94,reachable K
DYNAMIC_COLLIDER_V95,V95,natural-constructor,heathsanchez/triskelion,v95-dynamic-collider,MIXED,code,results/NATURAL_CONSTRUCTOR_AUDIT_V87_V96_20260814.md,anonymous dynamic clusters,Clusters form but 0/8 held-out tasks reachable,No natural Collider transfer,,verifier-only training
VERIFIER_DYNAMIC_COLLIDER_V96,V96,natural-constructor,heathsanchez/triskelion,v96-verifier-dynamic-collider,MIXED,code,results/NATURAL_CONSTRUCTOR_AUDIT_V87_V96_20260814.md,verifier-only dynamic component,Two held-out repairs reachable but learned component recovers 0/2 and support is one-source,No reusable cross-world organ,,source-distinct support
PROTECTED_DYNAMIC_RANKING_V97,V97,natural-constructor,heathsanchez/triskelion,v97-protected-dynamic-ranking,MIXED,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,cheap probe vs protected verifier ranking,Economics separation implemented but zero training improvements,No ranking advantage claim,,richer balanced K
RICH_K_V98,V98,natural-constructor,heathsanchez/triskelion,v98-rich-k-protected-dynamic-ranking,MIXED,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,richer fixed K,Family-order truncation confounds zero reachability,No conceptual K insufficiency claim,,balanced K
CROSS_SOURCE_ORGANS_V99,V99,natural-constructor,heathsanchez/triskelion,v99-cross-source-dynamic-organs,MIXED,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,source-distinct dynamic admission,Inherits V98 ordering confound,No organ-transfer claim,,balanced K
BALANCED_K_V100,V100,natural-constructor,heathsanchez/triskelion,v100-balanced-k-cross-source-organs,OPEN,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,balanced mutation-family K,Removes family-order confound,No final organ claim,,depth closure
BALANCED_K_PREFLIGHT_V100P,V100P,natural-constructor,heathsanchez/triskelion,v100p-balanced-k-preflight,MIXED,code,results/NATURAL_CONSTRUCTOR_FRONTIER.md,balanced-K shortened preflight,Training improvements and one source-distinct component appear but held-out depth-1 reachability is zero,No ranking utility claim,V100,depth-2 closure
DEPTH2_CLOSURE_V101P,V101P,natural-constructor,heathsanchez/triskelion,v101p-depth2-closure-preflight,MIXED,code,results/V101P_DEPTH2_CLOSURE_DIAGNOSTIC_20260814.md,closure-before-invention depth-2 test,Depth 2 makes sieve reachable and withdraws one missing-constructor obstruction,Do not call every depth-1 miss a constructor gap,V100P,fresh closure-invariant test
BOUNDARY_COMPRESSION_V102,V102,boundary-compression,heathsanchez/triskelion,main,MIXED,finite-world,results/V102_BOUNDARY_COMPRESSION_AUDIT_20260815.md,Bao boundary/compression audit,Boundary robustness partially survives within same semantic class; durable compression not established,Do not claim representation independence or durable V51 compression,V51,prospective charged compression
QUOTIENT_OPERATOR_V103,V103,capability-identity,heathsanchez/triskelion,main,RESULT_ONLY,finite-algebra,results/V103_OPERATOR_QUOTIENT_COMPRESSION_RESULT_20260815.md,operator identity modulo old-language orbit,Frozen finite Boolean world shows quotient-level transfer plus 151.24x semantic-state search compression,Not representation-independent or natural-world invention,V102,hosted attestation/adversarial test
ADVERSARIAL_IDENTITY_V104,V104,capability-identity,heathsanchez/triskelion,main,ATTESTED,finite-algebra,results/ATTESTATION_ADDENDUM_V104_V105_20260815.md,adversarial generator/coordinate redescription,Novelty is stable under tested old-language-preserving redescriptions and disappears when old capability truly subsumes it,Not representation-independent invention,V103,natural-code bridge
GF4_REACHABILITY_V105,V105,capability-identity,heathsanchez/triskelion,main,ATTESTED,finite-algebra,results/ATTESTATION_ADDENDUM_V104_V105_20260815.md,directed capability reachability,Same-class representatives are redundant and quotient classes have directed causal reachability,Does not prove general lattice,V104,test natural code and richer algebra
NATURAL_QUOTIENT_BRIDGE_V106,V106,capability-identity,heathsanchez/triskelion,main,MIXED,code,results/V106_NATURAL_CODE_QUOTIENT_BRIDGE_RESULT_20260815.md,supplied quotient natural-code bridge,12 acquisition tasks and quotient behavior pass but frozen split has only one held-out program,Do not promote V106 to PASS,,LOPO
NATURAL_QUOTIENT_LOPO_V106B,V106B,capability-identity,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/V106B_NATURAL_CODE_QUOTIENT_LOPO_RESULT_20260815.md,leave-one-program-out supplied quotient,Across 8 source families literal 0/13 vs quotient 13/13 and ablation 13/13,Relation is supplied not discovered,V106,verifier-induced relation
VERIFIER_DISCOVERED_QUOTIENT_V107,V107,capability-identity,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/V107_VERIFIER_DISCOVERED_QUOTIENT_RESULT_20260815.md,select quotient from 3 invertible templates,Acquisition verifiers uniquely select SWAP_AND_FLIP in every fold and transport repairs 13/13,Not arbitrary relation invention,V106B,generic relation grammar
GENERIC_QUOTIENT_V108,V108,capability-identity,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/V108_GENERIC_VERIFIER_QUOTIENT_INDUCTION_RESULT_20260815.md,induce relation from generic 59-candidate grammar,One of 59 relations uniquely survives every fold and held-out transport is 13/13,AST edit grammar remains supplied,V107,cross-family reuse
CROSS_FAMILY_QUOTIENT_V109,V109,capability-identity,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/V109_CROSS_FAMILY_QUOTIENT_REUSE_RESULT_20260815.md,reuse relation on distinct repair family,Relation induced only from family A transports family B 13/13 while literal is 0/13,Not unrestricted cross-domain relation,V108,natural source-authored coordinates
NATURAL_ORIENTATION_QUOTIENT_V109N,V109,capability-identity,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/V109_NATURAL_ORIENTATION_QUOTIENT_INDUCTION_RESULT_20260815.md,learn from naturally authored LT and transfer to GT,Source-authored coordinate shift transfers 5/5 vs literal 0/5,Mutation family and local grammar remain supplied,V108,historical bug repair
HISTORICAL_QUOTIENT_V110,V110,capability-identity,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,experiments/V110_HISTORICAL_QUOTIENT_REPAIR.py,historical quotient repair,Preserve as precursor to prospective BugsInPy,Do not infer cross-corpus transfer,,audit result
BUGSINPY_PROSPECTIVE_V111,V111,cross-corpus,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,experiments/V111_BUGSINPY_PROSPECTIVE_QUOTIENT.py,prospective BugsInPy quotient attempt,Historical prospective attempt,Do not infer until environment qualification,,audit result
RECURRENCE_NULL_V112,V112-V112B,capability-identity,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,results/V112B_V110_EXACT_RECURRENCE_NULL_RESULT_20260815.md,recurrence null controls,Preserve exact null evidence,Do not overinterpret without V110 context,,reconcile
CLOSURE_IDENTITY_V113,V113,capability-identity,heathsanchez/triskelion,main,BOUNDED_PASS,finite-algebra,results/V113_CLOSURE_EXTENSION_IDENTITY_RESULT_20260815.md,quotient identity by exact closure extension,Distinct old-unit orbits can collapse to the same developmental closure identity,Not a general natural-world theorem,V105,poset structure
GF5_POSET_NOT_LATTICE_V113A,V113A,capability-identity,heathsanchez/triskelion,main,NEGATIVE,finite-algebra,results/V113A_GF5_CAPABILITY_POSET_NOT_LATTICE_20260815.md,test universal lattice hypothesis,Exact GF5 developmental structure is a poset with no join for a pair; universal lattice terminology is falsified,Do not call general capability structure a lattice,V105,use preorder/poset
HORIZON_IDENTITY_V114,V114,capability-identity,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,finite-algebra,results/V114_Z4_HORIZON_INDEXED_IDENTITY_RESULT_20260815.md,horizon-indexed identity,Preserve horizon-dependent identity result,Do not generalize before reconciliation,,reconcile
BUGSINPY_DISJOINT_V115,V115,cross-corpus,heathsanchez/triskelion,main,HARNESS,code,results/V115_BUGSINPY_DISJOINT_PROSPECTIVE_HARNESS_NEGATIVE_20260815.md,disjoint prospective BugsInPy harness,Infrastructure negative retained,Not a capability negative,,healthy historical qualification
BUGSINPY_THIRD_ID_V115B,V115B,cross-corpus,heathsanchez/triskelion,main,INVALID,code,results/V115B_BUGSINPY_THIRD_ID_PROSPECTIVE_RESULT_20260815.md,prospective cross-corpus test under historical environments,Hosted search ran but qualification is environment-confounded,Neither transfer nor non-transfer is established,V115,fixed-pass buggy-fail qualification
